Diamond #,Cut Type,X (px),Y (px),Width (px),Height (px),Area (px²),Aspect Ratio
58,Round,980,228,13.0,10.7,94.0,1.22
59,Marquise,152,236,8.2,5.4,23.0,1.52
60,Round,151,244,4.9,5.7,15.5,1.14
61,Round,985,245,10.0,11.0,82.0,1.1
62,Marquise,145,237,16.0,7.0,53.0,2.29
63,Baguette,659,246,17.4,48.2,531.0,2.77
64,Baguette,143,251,18.0,6.2,43.0,2.92
65,Round,147,262,4.0,5.0,14.5,1.25
66,Round,1022,260,13.7,15.9,130.0,1.16
67,Round,616,257,14.4,12.5,106.0,1.15
68,Marquise,628,255,13.6,24.7,206.5,1.81
69,Marquise,143,267,5.0,8.0,24.5,1.6
70,Round,985,263,14.0,12.0,128.5,1.17
71,Marquise,698,271,2.8,5.7,13.0,2.0
72,Marquise,141,268,11.0,6.0,25.5,1.83
73,Round,142,273,9.5,7.9,37.0,1.19
74,Marquise,140,281,4.6,8.5,19.5,1.84
75,Marquise,974,278,31.3,13.9,252.5,2.26
76,Round,633,284,16.0,11.4,113.0,1.4
77,Marquise,145,285,10.0,5.0,33.0,2.0
78,Round,1013,289,10.6,9.2,65.0,1.15
79,Round,140,293,9.0,9.0,39.5,1.0
80,Marquise,140,301,6.0,10.0,32.5,1.67
81,Round,991,297,13.0,11.6,111.5,1.12
82,Round,628,295,17.0,17.0,220.5,1.0
83,Round,657,300,17.1,14.5,168.5,1.18
84,Round,1020,302,13.6,17.5,151.0,1.29
85,Round,141,308,10.0,9.0,55.5,1.11
86,Round,706,307,13.0,9.4,89.5,1.38
87,Marquise,668,302,21.9,8.8,117.5,2.48
88,Round,609,313,10.6,12.4,84.0,1.17
89,Round,677,308,19.5,17.2,205.5,1.14
90,Marquise,1049,314,21.5,10.3,145.5,2.09
91,Round,1002,312,12.3,12.2,106.5,1.01
92,Round,644,308,24.5,19.1,215.0,1.28
93,Round,715,316,14.0,17.0,121.5,1.22
94,Round,142,319,8.8,12.4,55.0,1.42
95,Marquise,627,316,21.9,11.3,166.5,1.94
96,Round,1029,318,13.0,14.8,140.0,1.14
97,Marquise,144,327,7.0,13.4,39.5,1.92
98,Marquise,659,319,14.8,35.5,267.0,2.39
99,Round,697,315,12.7,12.0,103.0,1.06
100,Round,703,323,14.1,15.6,122.0,1.1
101,Round,1009,327,13.8,10.9,95.5,1.27
102,Marquise,682,330,9.7,16.2,94.0,1.68
103,Marquise,730,330,13.9,7.5,55.5,1.86
104,Marquise,1058,332,15.2,6.3,54.5,2.4
105,Round,1034,332,12.7,12.5,101.0,1.02
106,Baguette,134,339,34.4,11.9,93.5,2.89
107,Round,639,336,10.3,13.5,78.0,1.31
108,Marquise,694,327,29.2,49.1,568.5,1.68
109,Round,1059,333,19.1,19.6,185.5,1.02
110,Round,1013,344,11.4,11.7,84.0,1.03
111,Baguette,161,350,4.8,18.0,43.0,3.79
112,Marquise,684,339,13.6,28.6,206.5,2.1
113,Round,733,347,13.6,9.2,70.5,1.49
114,Round,623,351,7.8,8.5,29.0,1.09
115,Round,1038,350,12.0,12.0,107.5,1.0
116,Round,646,351,14.8,11.6,108.0,1.27
117,Round,145,364,5.7,5.7,21.0,1.0
118,Marquise,719,364,10.7,4.6,27.5,2.32
119,Round,1065,366,11.5,17.1,118.5,1.49
120,Round,1014,362,15.0,12.0,138.0,1.25
121,Baguette,154,367,9.3,3.5,16.5,2.68
122,Marquise,739,368,4.5,7.5,18.0,1.65
123,Marquise,698,365,8.7,15.3,66.5,1.77
124,Round,1037,367,11.2,12.8,92.5,1.15
